datetime,actual_power,predicted_power,error,abs_error,relative_error,feature_wind_speed,feature_wind_speed_2,feature_wind_speed_3,feature_hour,feature_month,feature_is_daytime,feature_wind_lag_1h,feature_wind_lag_24h,original_gfs_wind_speed_10m,original_gfs_wind_speed_70m,fused_wind
2022-09-05 06:15:00,23.5178,26.291141977449016,2.7733419774490145,2.7733419774490145,11.792523009251553,4.66606148,21.77212973513979,101.59009589469836,6,9,1,5.03220114,4.93402529,4.7129126,4.608799,4.66606148
2022-09-05 06:30:00,23.5178,26.103913206111763,2.5861132061117615,2.5861132061117615,10.996407848574783,4.699852795,22.08861629466931,103.8132450301841,6,9,1,4.66606148,5.137657525,4.7430415,4.6470666,4.699852795
2022-09-05 06:45:00,23.4638,26.103913206111763,2.6401132061117636,2.6401132061117636,11.25185692422616,4.813406610000001,23.168883193191704,111.52125550842689,6,9,1,4.699852795,5.171283854,4.8326406,4.7898984,4.813406610000001
2022-09-05 07:00:00,23.3153,25.763793458607115,2.448493458607114,2.448493458607114,10.501659672219306,5.0302606999999995,25.303522709964486,127.28331585949184,7,9,1,4.813406610000001,5.707220417,5.056025,4.998771,5.0302606999999995
2022-09-05 07:15:00,27.4065,25.951022229944368,-1.4554777700556336,1.4554777700556336,-5.310702824237182,5.138711375,26.406354595554387,135.69463473245884,7,9,1,5.0302606999999995,6.533009058999999,5.134586,5.1437535,5.138711375
2022-09-05 07:30:00,26.2457,26.373222977095562,0.1275229770955626,0.1275229770955626,0.48588140932409674,5.308183230000001,28.176809203253242,149.56766608761856,7,9,1,5.138711375,6.750708615,5.2791963,5.3436117,5.308183230000001
2022-09-05 07:45:00,24.5543,28.12872577721132,3.5744257772113173,3.5744257772113173,14.557229388561655,5.65562939,31.98614379703177,180.90177493125904,7,9,1,5.308183230000001,6.84025037,5.4055634,5.9612656,5.65562939
2022-09-05 08:00:00,23.7416,30.441819815092547,6.700219815092549,6.700219815092549,28.221433316501017,5.83065383,33.99652408529367,198.2219633646048,8,9,1,5.65562939,7.064209198,5.3954816,6.362531,5.83065383
2022-09-05 08:15:00,27.3206,30.441819815092547,3.121219815092548,3.121219815092548,11.424418987687336,5.812552125,33.78576220584201,196.38150390431167,8,9,1,5.83065383,7.4992883,5.3204265,6.414039,5.812552125
2022-09-05 08:30:00,27.3717,29.700212104976554,2.3285121049765536,2.3285121049765536,8.507005791112181,5.639727925000001,31.806531068024814,179.38018146171964,8,9,1,5.812552125,7.66682536,5.166244,6.2184305,5.639727925000001
2022-09-05 08:45:00,24.8711,28.057067807257294,3.1859678072572954,3.1859678072572954,12.809919167130943,5.08334955,25.840442647485204,131.35600250389473,8,9,1,5.639727925000001,7.66792328,4.8746166,5.3384676,5.08334955
2022-09-05 09:00:00,20.8112,25.863099107262215,5.051899107262216,5.051899107262216,24.274905362663972,4.842168000000001,23.44659094022401,113.53233235984263,9,9,1,5.08334955,7.5433610049999995,4.5924387,5.1473927,4.842168000000001
2022-09-05 09:15:00,20.8112,25.84471988107677,5.033519881076771,5.033519881076771,24.18659125210517,4.650810760000001,21.63004072533178,100.59722614461127,9,9,1,4.842168000000001,7.340835202999999,4.5256357,4.8038025,4.650810760000001
2022-09-05 09:30:00,21.1607,25.657491109739517,4.496791109739519,4.496791109739519,21.25067274529884,4.244990985,18.01994846273127,76.49451877445887,9,9,1,4.650810760000001,7.156372914,4.1312637,4.383991,4.244990985
2022-09-05 09:45:00,22.5587,23.30407056292635,0.7453705629263467,0.7453705629263467,3.304137927256149,3.7543188100000005,14.09490972711982,52.916784713777915,9,9,1,4.244990985,6.944594824,3.6510808,3.8804986,3.7543188100000005
2022-09-05 10:00:00,20.7053,21.303351651478458,0.5980516514784568,0.5980516514784568,2.888398869804431,3.22484254,10.399609407793651,33.53710281763718,10,9,1,3.7543188100000005,6.776223357,3.1210063,3.3517535,3.22484254
2022-09-05 10:15:00,16.0607,19.637958812174983,3.577258812174982,3.577258812174982,22.273367972427387,2.6522791000000003,7.034584424296812,18.65768124574797,10,9,1,3.22484254,6.5804423100000005,2.5610065,2.7638345,2.6522791000000003
2022-09-05 10:30:00,9.9115,19.637958812174983,9.726458812174982,9.726458812174982,98.13306565466048,2.111998705,4.460538529921677,9.420651598797185,10,9,1,2.6522791000000003,6.466031024,2.0399551,2.200052,2.111998705
2022-09-05 10:45:00,0.9804,19.637958812174983,18.657558812174983,18.657558812174983,1903.0557549846396,1.760847295,3.100583196308817,5.459653534142835,10,9,1,2.111998705,6.446292623,1.7109859,1.821789,1.760847295
2022-09-05 11:00:00,0.9804,19.637958812174983,18.657558812174983,18.657558812174983,1903.0557549846396,1.64111822,2.6932690120159686,4.419972846980805,11,9,1,1.760847295,6.333999447,1.6141814,1.674041,1.64111822
2022-09-05 11:15:00,0.4632,19.637958812174983,19.174758812174982,19.174758812174982,4139.628324311777,1.66311176,2.7659407262502977,4.600068549289811,11,9,1,1.64111822,6.077410557,1.6564424,1.6712632,1.66311176
2022-09-05 11:30:00,0.0,19.637958812174983,19.637958812174983,19.637958812174983,196379588121.74982,1.78343797,3.180650992837721,5.67249374994499,11,9,1,1.66311176,5.7607689099999995,1.7889754,1.77667,1.78343797
