datetime,actual_power,predicted_power,fused_corrected_wind,error,abs_error,corrected_ec_10m,corrected_ec_70m,corrected_gfs_10m,corrected_gfs_70m
2022-07-14 23:45:00,116.3102,54.66387689001747,6.084733982449684,-61.646323109982525,61.646323109982525,4.896307398643237,6.212617190665675,6.460349129573823,7.8534107931590835
2022-07-15 00:00:00,111.2877,49.175756272254695,5.742215572949631,-62.111943727745306,62.111943727745306,5.458835843560948,6.727316861860606,5.500868948956564,5.981475775262743
2022-07-15 00:15:00,108.7764,44.407930988327614,5.65480731808363,-64.36846901167237,64.36846901167237,5.602932815567471,6.812977254498029,4.900839176230089,6.3769368851985275
2022-07-15 00:30:00,108.7764,42.97655187948086,5.648046835476698,-65.79984812051913,65.79984812051913,5.602932815567471,6.812977254498029,4.851426128887474,6.4471641116184255
2022-07-15 00:45:00,108.7764,42.97655187948086,5.661879831885372,-65.79984812051913,65.79984812051913,5.4731431798155015,6.8344193065579555,5.016363818491806,6.4359299099608105
2022-07-15 01:00:00,108.7764,41.23502442814786,5.468404332414031,-67.54137557185214,67.54137557185214,5.039268109470315,6.7536263852630745,4.921511892864255,6.460582492049805
2022-07-15 01:15:00,108.7764,37.69755280785942,5.268900751440258,-71.07884719214059,71.07884719214059,4.713541988737143,6.166380116905843,4.894545750281004,6.540753501653537
2022-07-15 01:30:00,108.7764,36.01703596314993,5.1967347271298205,-72.75936403685006,72.75936403685006,4.729414681397626,5.62908476714187,4.902388482153188,6.5416060321050375
2022-07-15 01:45:00,108.7764,35.44305637013598,5.1632716075254645,-73.33334362986402,73.33334362986402,4.6153536744714945,5.874330552667747,4.8164546587335835,6.539927386690171
2022-07-15 02:00:00,75.1319,34.19556026889028,5.147948361885353,-40.93633973110972,40.93633973110972,4.584866229677943,5.9941735536030105,4.781496749652852,6.470635240527491
2022-07-15 02:15:00,7.8428,36.78902837251361,5.331126545763092,28.946228372513612,28.946228372513612,4.713578546505362,6.472501667132062,4.948941184208212,6.522462599623542
2022-07-15 02:30:00,3.2501,38.403136452205516,5.359556651315046,35.15303645220551,35.15303645220551,4.582805366286918,6.558162059769485,4.96838376327259,6.886107646691975
2022-07-15 02:45:00,0.8525,38.69293875368551,5.39141934844478,37.84043875368551,37.84043875368551,4.776303644934392,6.288262297993615,4.981593088614012,6.886107646691975
2022-07-15 03:00:00,0.0,37.65281026700756,5.30983350219055,37.65281026700756,37.65281026700756,5.070517103354221,6.080719724268421,4.815823501891081,6.250042211429548
2022-07-15 03:15:00,0.0,34.769539861904235,5.2209654130569,34.769539861904235,34.769539861904235,5.010731361104992,5.9326895207927794,4.815916568178039,5.944901397926155
2022-07-15 03:30:00,0.0,34.19556026889028,5.153830914736552,34.19556026889028,34.19556026889028,4.9190968684536065,5.9326895207927794,4.804881593756456,5.7369001656274206
2022-07-15 03:45:00,0.0,30.733413885249078,5.027287099282344,30.733413885249078,30.733413885249078,4.653010313936832,5.624386116473341,4.748235001742489,5.9546221421572065
2022-07-15 04:00:00,0.0,32.82103703169359,5.196029197414736,32.82103703169359,32.82103703169359,4.805828077305168,6.349557326337455,4.633209508789949,6.26621628887218
2022-07-15 04:15:00,0.0,36.78902837251361,5.322139038880403,36.78902837251361,36.78902837251361,5.0155980332845465,6.897817415814356,4.575024933706755,6.204989253741962
2022-07-15 04:30:00,0.0,34.769539861904235,5.230660016373447,34.769539861904235,34.769539861904235,5.0322529275283925,6.317279075689516,4.545803549496536,6.204989253741962
2022-07-15 04:45:00,0.0,36.78902837251361,5.32258050335548,36.78902837251361,36.78902837251361,4.996559124190305,6.287450305303779,4.79671237578418,6.3454528837922926
2022-07-15 05:00:00,0.0,36.16025440513373,5.263565569089337,36.16025440513373,36.16025440513373,4.881799696487762,6.287450305303779,4.720295579198673,6.3980978453567845
2022-07-15 05:15:00,0.0,37.363007965527565,5.343806584791316,37.363007965527565,37.363007965527565,5.0322529275283925,6.287450305303779,4.80610245490594,6.381764367624886
2022-07-15 05:30:00,0.0,38.403136452205516,5.432379158772584,38.403136452205516,38.403136452205516,4.951045803931137,7.067417420239163,4.80610245490594,6.381764367624886
2022-07-15 05:45:00,0.0,39.42757843769232,5.617104345531054,39.42757843769232,39.42757843769232,5.298210055216085,7.362260219888788,4.853363189767393,6.3980978453567845
2022-07-15 06:00:00,0.5115,38.20796317931956,5.712707537022445,37.696463179319565,37.696463179319565,5.611194651534068,7.431449023511999,4.7950167542033615,6.372107943250303
2022-07-15 06:15:00,3.8717,38.65570715516521,5.659908177150437,34.78400715516521,34.78400715516521,5.342839721569358,7.3790061372083455,4.800582209862386,6.6857305371205005
2022-07-15 06:30:00,6.3758,38.65570715516521,5.643906932645583,32.27990715516521,32.27990715516521,5.169276250158583,7.30175755304549,4.89173585220485,6.848593759077059
2022-07-15 06:45:00,8.9404,37.04103582444344,5.576900728441866,28.10063582444344,28.10063582444344,4.992493059433662,7.292747827208352,4.907454102380955,6.786713651503322
2022-07-15 07:00:00,4.1452,35.858652164590985,5.35619559042505,31.713452164590986,31.713452164590986,4.790111414055303,6.891126284759618,4.81630046003849,6.401883278521863
2022-07-15 07:15:00,4.1452,34.711600379588575,5.243056691773511,30.566400379588575,30.566400379588575,4.794204773533361,6.518962244015889,4.695243100424233,6.292703995239804
2022-07-15 07:30:00,6.2785,33.03020558225022,5.1733830600646185,26.751705582250217,26.751705582250217,4.813205479652088,6.518962244015889,4.502370581560467,6.233914013585602
