feature,low_shear_day_importance,high_shear_night_importance,high_shear_day_importance,low_shear_night_importance,avg_importance,diff
obs_wind_speed_10m,13.492624015633162,23.403558830825258,22.545811324920795,19.762204095816877,19.801049566799023,2.783607229103918
obs_wind_speed_70m,15.45502039208283,9.469459317729223,6.689530277515669,11.44098448705896,10.76374861859667,-4.751454209543292
obs_wind_speed_30m,5.552528899833418,1.6977263002910208,2.0501479174422075,6.910556929059765,4.052740011656603,-4.860409011617557
obs_temperature_10m,3.2655759125030714,3.197108201837119,3.0334167183086573,2.9256082866715216,3.105427279830092,0.10780843163713572
obs_wind_speed_50m,3.1926130357303304,0.7472434066466181,1.1629952444611338,1.2371261575143817,1.5849944610881161,-0.07413091305324793
obs_wind_dir_cos_50m,1.0868978586283453,1.284465590006241,0.756219517968009,2.375862040420726,1.3758612517558304,-1.619642522452717
obs_wind_dir_cos_70m,1.0866058108327536,0.6233939729305158,0.7401817404044693,2.1901319535942863,1.1600783694405061,-1.449950213189817
obs_wind_dir_sin_50m,0.6764186108818684,1.710397496425881,0.9385274737033705,0.8990968627068727,1.0561101109294981,0.039430610996497806
obs_wind_dir_sin_70m,0.9671674128267083,0.9974268195073394,1.1738745282207657,0.9840958778603022,1.0306411596037788,0.18977865036046349
obs_wind_dir_cos_10m,1.088860220128612,0.7855528658684966,1.0313619317685179,1.038142301517719,0.9859793298208364,-0.006780369749201043
obs_wind_dir_sin_10m,0.9589259722469773,1.0648298465827581,0.6164008117590071,1.0779983817194463,0.9295387530770473,-0.4615975699604392
obs_wind_dir_cos_30m,0.7082257356738175,0.9721342274505157,0.651328771065651,1.3423002699533972,0.9184972510358453,-0.6909714988877462
obs_wind_dir_sin_30m,0.9120165429597498,0.5024891470990588,0.8218676818878409,1.0955185143155832,0.8329729715655582,-0.27365083242774235
