height,total_months,avg_rmse_obs_ec,avg_rmse_obs_gfs,avg_rmse_change,months_ec_better,months_gfs_better,best_ec_month,best_ec_improvement,worst_ec_month,worst_ec_change
10m,18,2.3213368600388877,2.410132366602236,3.666400365038819,14,4,November 2021,17.692176884276954,April 2022,-11.843910840794438
30m,18,2.573028640114356,2.675837652534705,3.5361395792559276,12,6,August 2022,19.611898290719413,June 2022,-6.229917967146513
50m,18,2.865235147808872,3.0042946844086735,4.337490463699961,13,5,August 2022,18.450509844362593,May 2021,-4.964826554605352
70m,18,3.1307894191468524,3.3156835571610053,5.256692584738435,13,5,November 2021,18.239834896214198,May 2021,-5.2704224593851
