Model,Feature,Mean_Abs_SHAP,SHAP_Std
Random Forest (Improved),obs_wind_speed_10m,23.242352433522868,14.326532607149202
Random Forest (Improved),obs_wind_speed_30m,1.5708877494228048,1.2464527839705393
Random Forest (Improved),obs_wind_speed_50m,4.8713904690396115,2.5574213552521887
Random Forest (Improved),obs_wind_speed_70m,7.231726837478522,5.122190520334684
Random Forest (Improved),obs_temperature_10m,2.654802669492645,3.6534909354271172
Random Forest (Improved),obs_wind_dir_sin_10m,0.4432652508798364,0.4700662433687149
Random Forest (Improved),obs_wind_dir_cos_10m,0.41844270328393335,0.5408435930430555
Random Forest (Improved),obs_wind_dir_sin_30m,0.36022514939441996,0.374959978094858
Random Forest (Improved),obs_wind_dir_cos_30m,0.37858309465228485,0.615609618321796
Random Forest (Improved),obs_wind_dir_sin_50m,1.1408888144212177,0.9643637555648696
Random Forest (Improved),obs_wind_dir_cos_50m,0.6447994849493919,1.1214936028255438
Random Forest (Improved),obs_wind_dir_sin_70m,1.0066865763263761,0.8609148215109216
Random Forest (Improved),obs_wind_dir_cos_70m,0.5992369187854095,0.8054213379377394
LightGBM,obs_wind_speed_10m,25.787261117792678,16.171939513741936
LightGBM,obs_wind_speed_30m,1.7908284315883782,2.145739240837583
LightGBM,obs_wind_speed_50m,1.5015912159868874,1.5143216358869613
LightGBM,obs_wind_speed_70m,8.384632548944962,5.746640632464696
LightGBM,obs_temperature_10m,2.8519827341373616,3.9088511188638835
LightGBM,obs_wind_dir_sin_10m,0.7805210475837158,1.078318730256154
LightGBM,obs_wind_dir_cos_10m,0.6192468746117766,0.8725143825041582
LightGBM,obs_wind_dir_sin_30m,0.5842522980382484,0.6268232524731904
LightGBM,obs_wind_dir_cos_30m,0.5479440750680741,0.8423990895206203
LightGBM,obs_wind_dir_sin_50m,1.376128715517957,1.2688382762026749
LightGBM,obs_wind_dir_cos_50m,0.8987653583868142,1.287620498872508
LightGBM,obs_wind_dir_sin_70m,0.8408491553905884,0.8192997796858557
LightGBM,obs_wind_dir_cos_70m,0.8045781528284034,0.9154266013168092
