datetime,power,gfs_wind_speed_70m
2021-05-01 00:00:00,29.6714,8.307833
2021-05-01 00:15:00,29.1351,8.87517
2021-05-01 00:30:00,28.5939,8.98317
2021-05-01 00:45:00,28.0354,8.920717
2021-05-01 01:00:00,27.4607,8.968456
2021-05-01 01:15:00,26.846,9.144028
2021-05-01 01:30:00,26.1943,9.5317745
2021-05-01 01:45:00,25.5088,9.67913
2021-05-01 02:00:00,24.7929,9.889612
2021-05-01 02:15:00,24.0616,10.029373
2021-05-01 02:30:00,23.3508,10.094411
2021-05-01 02:45:00,22.671,9.989972
2021-05-01 03:00:00,22.042,9.812157
2021-05-01 03:15:00,21.4607,9.65979
2021-05-01 03:30:00,20.9846,9.523828
2021-05-01 03:45:00,20.6172,9.331814
2021-05-01 04:00:00,20.3628,9.118454
2021-05-01 04:15:00,20.2561,8.9452715
2021-05-01 04:30:00,20.2078,8.871967
2021-05-01 04:45:00,20.2271,9.007889
2021-05-01 05:00:00,20.3239,9.208427
2021-05-01 05:15:00,20.4896,9.452423
2021-05-01 05:30:00,20.6961,9.655858
2021-05-01 05:45:00,20.9446,9.609459
2021-05-01 06:00:00,21.2163,9.403241
2021-05-01 06:15:00,21.5223,9.156986
2021-05-01 06:30:00,21.7287,8.972341
2021-05-01 06:45:00,21.8222,8.813006
2021-05-01 07:00:00,21.7702,8.701615
2021-05-01 07:15:00,21.5737,8.630478
2021-05-01 07:30:00,21.2264,8.606824
2021-05-01 07:45:00,20.7059,8.60847
2021-05-01 08:00:00,20.0254,8.642402
2021-05-01 08:15:00,19.1833,8.568051
2021-05-01 08:30:00,18.2548,8.370727
2021-05-01 08:45:00,17.2323,8.198506
2021-05-01 09:00:00,16.1379,7.535821
2021-05-01 09:15:00,14.9939,6.931989
2021-05-01 09:30:00,13.999,6.467169
2021-05-01 09:45:00,13.1391,5.5435987
2021-05-01 10:00:00,12.3958,4.6414185
2021-05-01 10:15:00,11.7484,3.8875139
2021-05-01 10:30:00,11.2444,3.1950207
2021-05-01 10:45:00,10.879,2.6430614
2021-05-01 11:00:00,10.6461,2.333598
2021-05-01 11:15:00,10.5592,2.1922653
2021-05-01 11:30:00,10.5898,2.1150959
2021-05-01 11:45:00,10.7543,2.0593867
2021-05-01 12:00:00,11.0683,2.021351
2021-05-01 12:15:00,11.5543,1.9965461
2021-05-01 12:30:00,12.1975,1.9900041
2021-05-01 12:45:00,13.0338,2.0540347
2021-05-01 13:00:00,14.1054,2.240623
2021-05-01 13:15:00,15.4851,2.5280762
2021-05-01 13:30:00,17.061,2.8761086
2021-05-01 13:45:00,18.8746,3.242461
2021-05-01 14:00:00,20.9646,3.6083999
2021-05-01 14:15:00,23.373,3.889164
2021-05-01 14:30:00,26.2067,4.1424584
2021-05-01 14:45:00,29.5054,4.450192
2021-05-01 15:00:00,33.3318,4.655305
