datetime,actual_power,predicted_power,error,abs_error,relative_error,feature_wind_speed,feature_wind_speed_2,feature_wind_speed_3,feature_hour,feature_month,feature_is_daytime,feature_wind_lag_1h,feature_wind_lag_24h,original_gfs_wind_speed_70m
2022-10-24 09:15:00,0.0,16.368883397144796,16.368883397144796,16.368883397144796,163688833971.44794,1.3925838,1.9392896400224398,2.700623336203081,9,10,1,1.789631,1.1394676,1.3925838
2022-10-24 09:30:00,0.0,16.368883397144796,16.368883397144796,16.368883397144796,163688833971.44794,0.96006507,0.9217249386341049,0.8849159177304975,9,10,1,1.3925838,1.3161697,0.96006507
2022-10-24 09:45:00,0.0,16.368883397144796,16.368883397144796,16.368883397144796,163688833971.44794,0.50062484,0.25062523042502555,0.12546921588149154,9,10,1,0.96006507,1.4865686,0.50062484
2022-10-24 10:00:00,0.0,16.368883397144796,16.368883397144796,16.368883397144796,163688833971.44794,0.05363683,0.0028769095324489005,0.00015430830751734115,10,10,1,0.50062484,1.637995,0.05363683
2022-10-24 10:15:00,0.0,16.368883397144796,16.368883397144796,16.368883397144796,163688833971.44794,0.26877636,0.0722407316948496,0.019416600908678305,10,10,1,0.05363683,1.7496843,0.26877636
2022-10-24 10:30:00,0.0,16.368883397144796,16.368883397144796,16.368883397144796,163688833971.44794,0.6972686,0.48618350054596005,0.3390004887687808,10,10,1,0.26877636,1.8406689,0.6972686
2022-10-24 10:45:00,0.0,16.368883397144796,16.368883397144796,16.368883397144796,163688833971.44794,1.1327826,1.2831964188627603,1.4535825756700467,10,10,1,0.6972686,1.9690267,1.1327826
2022-10-24 11:00:00,0.0,16.368883397144796,16.368883397144796,16.368883397144796,163688833971.44794,1.4452384,2.08871403283456,3.0186897268713673,11,10,1,1.1327826,2.1541579,1.4452384
2022-10-24 11:15:00,0.0,16.368883397144796,16.368883397144796,16.368883397144796,163688833971.44794,1.6621084,2.7626043333505597,4.5917478683383655,11,10,1,1.4452384,2.3364365,1.6621084
2022-10-24 11:30:00,0.0,16.368883397144796,16.368883397144796,16.368883397144796,163688833971.44794,1.8479834,3.41504264667556,6.310942121348499,11,10,1,1.6621084,2.49281,1.8479834
2022-10-24 11:45:00,0.0,16.368883397144796,16.368883397144796,16.368883397144796,163688833971.44794,2.02301,4.092569460100001,8.279308943476904,11,10,1,1.8479834,2.6647515,2.02301
2022-10-24 12:00:00,0.0,16.779644994593614,16.779644994593614,16.779644994593614,167796449945.93613,2.2356176,4.997986053429759,11.17358558560211,12,10,1,2.02301,2.8467183,2.2356176
2022-10-24 12:15:00,0.0,16.779644994593614,16.779644994593614,16.779644994593614,167796449945.93613,2.440809,5.957548574480999,14.541238178530392,12,10,1,2.2356176,3.0004194,2.440809
2022-10-24 12:30:00,0.0,17.474350540683517,17.474350540683517,17.474350540683517,174743505406.83517,2.5861568,6.688206994186239,17.296751997822305,12,10,1,2.440809,3.0988395,2.5861568
2022-10-24 12:45:00,0.0,17.474350540683517,17.474350540683517,17.474350540683517,174743505406.83517,2.7028766,7.305541914827561,19.74597829190661,12,10,1,2.5861568,3.0893056,2.7028766
2022-10-24 13:00:00,0.0,17.713378139612658,17.713378139612658,17.713378139612658,177133781396.1266,2.782578,7.742740326084,21.544778891074163,13,10,1,2.7028766,2.931769,2.782578
2022-10-24 13:15:00,0.0,17.713378139612658,17.713378139612658,17.713378139612658,177133781396.1266,2.8172824,7.9370801213497595,22.36099613326854,13,10,1,2.782578,2.7221813,2.8172824
2022-10-24 13:30:00,0.0,17.068400304095682,17.068400304095682,17.068400304095682,170684003040.95682,2.8294978,8.00605780020484,22.65312293235243,13,10,1,2.8172824,2.566099,2.8294978
2022-10-24 13:45:00,0.0,17.068400304095682,17.068400304095682,17.068400304095682,170684003040.95682,2.863571,8.200038872040999,23.481393512849316,13,10,1,2.8294978,2.4991882,2.863571
2022-10-24 14:00:00,0.0,17.068400304095682,17.068400304095682,17.068400304095682,170684003040.95682,2.9262564,8.56297651854096,25.057464840430207,14,10,1,2.863571,2.513201,2.9262564
2022-10-24 14:15:00,0.0,17.068400304095682,17.068400304095682,17.068400304095682,170684003040.95682,2.968253,8.810525872008999,26.151869851168325,14,10,1,2.9262564,2.482302,2.968253
2022-10-24 14:30:00,0.0,17.616388475745843,17.616388475745843,17.616388475745843,176163884757.45844,3.0679338,9.41221780118244,28.87606112520929,14,10,1,2.968253,2.3472946,3.0679338
2022-10-24 14:45:00,0.0,17.616388475745843,17.616388475745843,17.616388475745843,176163884757.45844,3.1986911,10.23162475321921,32.727807036661986,14,10,1,3.0679338,2.1303983,3.1986911
2022-10-24 15:00:00,0.0,19.216870804695315,19.216870804695315,19.216870804695315,192168708046.95316,3.280534,10.761903325155998,35.30478976288731,15,10,1,3.1986911,1.789631,3.280534
2022-10-24 15:15:00,0.0,19.216870804695315,19.216870804695315,19.216870804695315,192168708046.95316,3.3259664,11.06205249392896,36.79201490984392,15,10,1,3.280534,1.3925838,3.3259664
2022-10-24 15:30:00,0.0,19.216870804695315,19.216870804695315,19.216870804695315,192168708046.95316,3.3829188,11.44413960739344,38.71459502767589,15,10,1,3.3259664,0.96006507,3.3829188
2022-10-24 15:45:00,0.0,19.216870804695315,19.216870804695315,19.216870804695315,192168708046.95316,3.4733112,12.06389069204544,41.90164665625718,15,10,1,3.3829188,0.50062484,3.4733112
2022-10-24 16:00:00,0.0,19.216870804695315,19.216870804695315,19.216870804695315,192168708046.95316,3.604996,12.995996160015999,46.850514172873034,16,10,1,3.4733112,0.05363683,3.604996
2022-10-24 16:15:00,0.0,19.216870804695315,19.216870804695315,19.216870804695315,192168708046.95316,3.713882,13.792919509924,51.22527549535556,16,10,1,3.604996,0.26877636,3.713882
2022-10-24 16:30:00,0.0,19.216870804695315,19.216870804695315,19.216870804695315,192168708046.95316,3.7762768,14.260266470218241,53.85071343330304,16,10,1,3.713882,0.6972686,3.7762768
2022-10-24 16:45:00,0.0,20.725385983247573,20.725385983247573,20.725385983247573,207253859832.47574,3.816195,14.563344278025,55.576561617077616,16,10,1,3.7762768,1.1327826,3.816195
2022-10-24 17:00:00,0.0,20.725385983247573,20.725385983247573,20.725385983247573,207253859832.47574,3.8559303,14.868198478458089,57.33073701950044,17,10,1,3.816195,1.4452384,3.8559303
2022-10-24 17:15:00,0.0,20.725385983247573,20.725385983247573,20.725385983247573,207253859832.47574,3.983891,15.871387499881,63.22987781828841,17,10,1,3.8559303,1.6621084,3.983891
2022-10-24 17:30:00,0.0,20.725385983247573,20.725385983247573,20.725385983247573,207253859832.47574,4.2602534,18.14975903221156,77.32257262616,17,10,1,3.983891,1.8479834,4.2602534
2022-10-24 17:45:00,0.0,21.618602407014723,21.618602407014723,21.618602407014723,216186024070.14722,4.6534142,21.654263716761644,100.76625827012342,17,10,1,4.2602534,2.02301,4.6534142
2022-10-24 18:00:00,0.0,24.49672364050333,24.49672364050333,24.49672364050333,244967236405.0333,5.058816,25.591619321856,129.4632932913143,18,10,0,4.6534142,2.2356176,5.058816
2022-10-24 18:15:00,0.0,26.587334031423158,26.587334031423158,26.587334031423158,265873340314.2316,5.5491567,30.793140081154892,170.87595959537921,18,10,0,5.058816,2.440809,5.5491567
2022-10-24 18:30:00,0.0,29.010094231955936,29.010094231955936,29.010094231955936,290100942319.5593,6.0526237,36.634253653801686,221.73335189681168,18,10,0,5.5491567,2.5861568,6.0526237
2022-10-24 18:45:00,0.0,31.81793851631833,31.81793851631833,31.81793851631833,318179385163.1833,6.4876075,42.08905107405625,273.05724341593043,18,10,0,6.0526237,2.7028766,6.4876075
2022-10-24 19:00:00,0.0,37.88875091538654,37.88875091538654,37.88875091538654,378887509153.86536,6.8493767,46.91396117850289,321.33139260074216,19,10,0,6.4876075,2.782578,6.8493767
2022-10-24 19:15:00,0.0,42.42689396012754,42.42689396012754,42.42689396012754,424268939601.27545,7.2313123,52.29187758013129,378.13889753529764,19,10,0,6.8493767,2.8172824,7.2313123
2022-10-24 19:30:00,0.0,43.67117487119039,43.67117487119039,43.67117487119039,436711748711.9039,7.502469,56.287041095960994,422.29178092417334,19,10,0,7.2313123,2.8294978,7.502469
2022-10-24 19:45:00,0.0,43.24383205956825,43.24383205956825,43.24383205956825,432438320595.68243,7.6115437,57.935597497009695,440.97933213409993,19,10,0,7.502469,2.863571,7.6115437
2022-10-24 20:00:00,0.0,45.514329294505806,45.514329294505806,45.514329294505806,455143292945.05804,7.438129,55.325763020641,411.5201623709574,20,10,0,7.6115437,2.9262564,7.438129
2022-10-24 20:15:00,0.0,42.706488055802396,42.706488055802396,42.706488055802396,427064880558.0239,7.1763263,51.499659164071694,369.57835850016374,20,10,0,7.438129,2.968253,7.1763263
2022-10-24 20:30:00,0.0,42.700841884437864,42.700841884437864,42.700841884437864,427008418844.3786,7.3978095,54.72758539829025,404.86425117153294,20,10,0,7.1763263,3.0679338,7.3978095
2022-10-24 20:45:00,0.0,43.51777998387857,43.51777998387857,43.51777998387857,435177799838.78564,7.950153,63.204932723409,502.4888855058083,20,10,0,7.3978095,3.1986911,7.950153
2022-10-24 21:00:00,0.0,45.94019099764352,45.94019099764352,45.94019099764352,459401909976.4352,8.366685,70.00141788922501,585.6798130325105,21,10,0,7.950153,3.280534,8.366685
2022-10-24 21:15:00,0.0,50.717897245545174,50.717897245545174,50.717897245545174,507178972455.4518,8.578008,73.582221248064,631.1888825236631,21,10,0,8.366685,3.3259664,8.578008
2022-10-24 21:30:00,0.0,50.717897245545174,50.717897245545174,50.717897245545174,507178972455.4518,8.594441,73.864416102481,634.8233661922228,21,10,0,8.578008,3.3829188,8.594441
2022-10-24 21:45:00,0.0,50.717897245545174,50.717897245545174,50.717897245545174,507178972455.4518,8.513822,72.48516504768399,617.125792856603,21,10,0,8.594441,3.4733112,8.513822
2022-10-24 22:00:00,0.0,49.73336907615669,49.73336907615669,49.73336907615669,497333690761.5669,8.507288,72.37394911494401,615.7060288181739,22,10,0,8.513822,3.604996,8.507288
2022-10-24 22:15:00,0.0,49.73336907615669,49.73336907615669,49.73336907615669,497333690761.5669,8.689919,75.514692226561,656.2165587587447,22,10,0,8.507288,3.713882,8.689919
2022-10-24 22:30:00,0.0,48.8092447230617,48.8092447230617,48.8092447230617,488092447230.61707,8.853076,78.376954661776,693.8771362692571,22,10,0,8.689919,3.7762768,8.853076
2022-10-24 22:45:00,0.0,48.969370840446835,48.969370840446835,48.969370840446835,489693708404.4683,9.079384,82.43521381945598,748.4609613889475,22,10,0,8.853076,3.816195,9.079384
2022-10-24 23:00:00,0.0,49.62102165209781,49.62102165209781,49.62102165209781,496210216520.9781,9.334739,87.13735219812102,813.404439920536,23,10,0,9.079384,3.8559303,9.334739
2022-10-24 23:15:00,0.0,48.041263245063504,48.041263245063504,48.041263245063504,480412632450.6351,9.401541,88.388973174681,830.9925552496636,23,10,0,9.334739,3.983891,9.401541
2022-10-24 23:30:00,0.0,47.86239048102334,47.86239048102334,47.86239048102334,478623904810.2334,9.803519,96.108984783361,942.2062583943904,23,10,0,9.401541,4.2602534,9.803519
2022-10-24 23:45:00,0.0,54.90860146984066,54.90860146984066,54.90860146984066,549086014698.4066,10.323676,106.57828615297602,1100.2796948786108,23,10,0,9.803519,4.6534142,10.323676
2022-10-25 00:00:00,0.0,53.15115693848829,53.15115693848829,53.15115693848829,531511569384.88293,11.48982,132.0159636324,1516.8396592628221,0,10,0,10.323676,5.058816,11.48982
2022-10-25 00:15:00,0.0,70.23181495338315,70.23181495338315,70.23181495338315,702318149533.8315,12.762742,162.88758335856397,2078.8922014088457,0,10,0,11.48982,5.5491567,12.762742
2022-10-25 00:30:00,0.87,79.09121812537542,78.22121812537542,78.22121812537542,8990.944508767925,12.28328,150.87896755839998,1853.2886046307433,0,10,0,12.762742,6.0526237,12.28328
2022-10-25 00:45:00,0.87,72.2323575905745,71.36235759057449,71.36235759057449,8202.569743714655,11.972428,143.339032215184,1716.1162427859713,0,10,0,12.28328,6.4876075,11.972428
2022-10-25 01:00:00,2.67,70.55580973647278,67.88580973647278,67.88580973647278,2542.539680981978,11.854828,140.53694690958397,1666.0413332582496,1,10,0,11.972428,6.8493767,11.854828
2022-10-25 01:15:00,5.36,72.57940385265447,67.21940385265447,67.21940385265447,1254.093353120245,12.034636,144.83246365249602,1743.0059810410203,1,10,0,11.854828,7.2313123,12.034636
2022-10-25 01:30:00,6.61,77.2041404403846,70.5941404403846,70.5941404403846,1067.990020175274,12.284531,150.90970188996098,1853.8549110679842,1,10,0,12.034636,7.502469,12.284531
2022-10-25 01:45:00,13.45,80.06097506643297,66.61097506643297,66.61097506643297,495.2488848840749,12.631666,159.55898593555597,2015.4958176366406,1,10,0,12.284531,7.6115437,12.631666
2022-10-25 02:00:00,19.26,81.499657002749,62.239657002749,62.239657002749,323.15502061491947,12.532731,157.069346318361,1968.5078657538588,2,10,0,12.631666,7.438129,12.532731
2022-10-25 02:15:00,24.29,82.91210579954291,58.622105799542915,58.622105799542915,241.34255156611223,12.922727,166.996873116529,2158.0550011385435,2,10,0,12.532731,7.1763263,12.922727
2022-10-25 02:30:00,24.77,84.10584992777723,59.33584992777723,59.33584992777723,239.54723416965084,13.223775,174.868225250625,2312.4180653635835,2,10,0,12.922727,7.3978095,13.223775
2022-10-25 02:45:00,27.61,84.10584992777723,56.49584992777723,56.49584992777723,204.62097032711023,13.489849,181.97602604280098,2454.829112937453,2,10,0,13.223775,7.950153,13.489849
2022-10-25 03:00:00,30.62,84.01615144548742,53.39615144548742,53.39615144548742,174.38325090806364,13.471227,181.47395688552902,2444.6768677931746,3,10,0,13.489849,8.366685,13.471227
2022-10-25 03:15:00,28.57,95.65228126611837,67.08228126611837,67.08228126611837,234.79972433545115,13.586079,184.581542594241,2507.739419627223,3,10,0,13.471227,8.578008,13.586079
2022-10-25 03:30:00,39.12,106.10454615773877,66.98454615773878,66.98454615773878,171.22838992999985,13.902325,193.27464040562498,2686.9668651771303,3,10,0,13.586079,8.594441,13.902325
2022-10-25 03:45:00,44.01,106.10454615773877,62.09454615773877,62.09454615773877,141.0919021668475,14.00234,196.0655254756,2745.376149988013,3,10,0,13.902325,8.513822,14.00234
2022-10-25 04:00:00,42.95,106.10454615773877,63.154546157738764,63.154546157738764,147.0420166310467,13.930887,194.069612606769,2703.5618433586747,4,10,0,14.00234,8.507288,13.930887
2022-10-25 04:15:00,42.7,106.10454615773877,63.404546157738764,63.404546157738764,148.4883984611005,13.892755,193.00864149002498,2681.421769103752,4,10,0,13.930887,8.689919,13.892755
2022-10-25 04:30:00,34.09,106.10454615773877,72.01454615773876,72.01454615773876,211.248301955453,13.988393,195.67513872244902,2737.180740779135,4,10,0,13.892755,8.853076,13.988393
2022-10-25 04:45:00,26.68,106.10454615773877,79.42454615773877,79.42454615773877,297.69320137919584,14.038744,197.086333097536,2766.8445762550346,4,10,0,13.988393,9.079384,14.038744
2022-10-25 05:00:00,27.35,106.10454615773877,78.75454615773876,78.75454615773876,287.9508085153334,13.920617,193.783577660689,2697.5869655042075,5,10,0,14.038744,9.334739,13.920617
2022-10-25 05:15:00,32.64,106.10454615773877,73.46454615773877,73.46454615773877,225.07520262019375,14.005511,196.154338371121,2747.2417437544573,5,10,0,13.920617,9.401541,14.005511
2022-10-25 05:30:00,32.93,106.10454615773877,73.17454615773877,73.17454615773877,222.21240855000767,13.942447,194.391828347809,2710.2977639724245,5,10,0,14.005511,9.803519,13.942447
2022-10-25 05:45:00,29.69,106.10454615773877,76.41454615773877,76.41454615773877,257.3746922600246,13.651047,186.351084196209,2543.8874088634066,5,10,0,13.942447,10.323676,13.651047
2022-10-25 06:00:00,36.65,106.10454615773877,69.45454615773878,69.45454615773878,189.50762930092228,13.589959,184.686985621681,2509.8885624322343,6,10,1,13.651047,11.48982,13.589959
2022-10-25 06:15:00,35.09,110.45416805291326,75.36416805291326,75.36416805291326,214.77391858488417,13.760283,189.345388240089,2605.446126928496,6,10,1,13.589959,12.762742,13.760283
2022-10-25 06:30:00,34.2,98.81803823228233,64.61803823228233,64.61803823228233,188.94163220288937,13.360445,178.50149059802501,2384.85934755293,6,10,1,13.760283,12.28328,13.360445
