variable,mean,std,min,max,day_mean,night_mean,day_night_diff,peak_hour,trough_hour,diurnal_range
obs_wind_speed_10m,5.587740409427146,2.7317508213104795,0.0,21.25,5.781084018490419,5.35923242138627,0.42185159710414855,17,6,1.6575520777118191
obs_wind_speed_30m,6.399672955253551,2.7194133487821226,0.0,23.27,6.585964395356222,6.179499749770623,0.4064646455855989,17,8,1.456573394495413
obs_wind_speed_50m,6.603895292161248,3.057862188973159,0.0,24.12,6.730026288859875,6.454824213862707,0.27520207499716776,17,8,1.5374954128440361
obs_wind_speed_70m,6.750750043007053,3.170503142419613,0.0,25.37,6.765959631603091,6.732774209692217,0.033185421910873814,17,9,1.1496793038316246
