Model,Train_RMSE,Train_MAE,Train_R²,Test_RMSE,Test_MAE,Test_R²,CV_RMSE
Linear Regression,27.146213209278915,19.739867127927912,0.6638273128222228,26.920158069571816,19.689043933435872,0.6642131409164864,27.160460826876253
Ridge Regression,27.14623121502366,19.739355536019637,0.6638268668637715,26.920195888463304,19.688630314188952,0.6642121974528058,27.160369269235403
Lasso Regression,27.149380419569265,19.734615688489576,0.6637488641857103,26.925438693894428,19.687359220585847,0.6640813929407471,27.1625872403503
Elastic Net,27.149928775650896,19.733712650622994,0.6637352810236261,26.92688652723101,19.686989829488976,0.6640452659725433,27.163062565400622
