z0,d,u_star,u_star_std,r_squared,rmse,n_points,wind_profile,height_profile,slope,intercept,ln_z0_optimal,timestamp,confidence
0.01110899071952,0.007405993813013333,0.23518987635873478,0.020806499806026054,0.9477677140699018,0.1016763256255589,4,"[4.31, 5.2, 5.3, 5.45]","[10, 30, 50, 70]",0.587974690896837,0.3813316231728967,-4.500000523784827,2021-05-01 17:00:00,0.85
0.00012340988364188365,8.227325576125576e-05,0.37962498092787395,0.06613800546402657,0.9800578296793309,0.09969042370912738,4,"[4.72, 5.58, 6.11, 6.63]","[10, 30, 50, 70]",0.9490624523196848,-6.071079997796607,-8.999999355357712,2021-05-01 17:00:00,0.85
0.00012340988364313956,8.227325576209304e-05,0.6720244714324516,0.08883849561221073,0.9759121152265953,0.19436468786085903,4,"[6.86, 8.24, 9.53, 10.11]","[10, 30, 50, 70]",1.6800611785811288,-12.258762084767588,-8.999999355347535,2021-05-05 02:00:00,0.85
0.00012340988364270553,8.227325576180368e-05,0.5167780152701984,0.060539525844667805,0.9967513957907542,0.05431218866056147,4,"[6.67, 7.96, 8.72, 9.19]","[10, 30, 50, 70]",1.291945038175496,-7.970478687986114,-8.999999355351052,2021-05-05 02:00:00,0.85
0.00012340988364411269,8.227325576274179e-05,0.5589747646387518,0.09165845792971408,0.985701763033666,0.12393642933781847,4,"[5.51, 6.75, 7.75, 8.21]","[10, 30, 50, 70]",1.3974369115968797,-10.365547881272065,-8.99999935533965,2021-05-06 03:00:00,0.85
0.00012340988364305735,8.227325576203823e-05,0.39952681322595957,0.061193061537058974,0.9967554846867585,0.04196283562128437,4,"[5.12, 6.14, 6.67, 7.09]","[10, 30, 50, 70]",0.9988170330648989,-6.196324138322525,-8.999999355348201,2021-05-10 05:00:00,0.85
0.00012340988364658987,8.227325576439324e-05,0.4494311571216983,0.02762599447946233,0.9972724340042292,0.04326953248371731,4,"[8.4, 9.57, 10.14, 10.62]","[10, 30, 50, 70]",1.1235778928042457,-4.324101884829817,-8.999999355319577,2021-05-17 14:00:00,0.85
0.00012340988364136215,8.227325576090809e-05,0.5309907525327607,0.04512397338377595,0.974820693133813,0.15710310650304668,4,"[8.28, 9.4, 10.25, 10.93]","[10, 30, 50, 70]",1.3274768813319018,-6.833421170684275,-8.999999355361938,2021-05-18 00:00:00,0.85
0.00012340988364136936,8.22732557609129e-05,0.6291776377622662,0.07193672984242906,0.955168857915749,0.2509350935966293,4,"[7.63, 8.79, 9.94, 10.77]","[10, 30, 50, 70]",1.5729440944056654,-10.32593289869492,-8.99999935536188,2021-05-18 00:00:00,0.85
0.00012340988364114512,8.22732557607634e-05,0.4658727519895247,0.048768818301140035,0.8682622194942279,0.33406834743127745,4,"[8.08, 8.62, 9.63, 10.47]","[10, 30, 50, 70]",1.1646818799738117,-5.319007110945551,-8.999999355363697,2021-05-18 00:00:00,0.85
0.0001234098836497677,8.227325576651179e-05,0.5321570851417892,0.04047961940861754,0.9913514931369737,0.09150290516480544,4,"[8.58, 9.84, 10.76, 11.13]","[10, 30, 50, 70]",1.3303927128544728,-6.507270133635373,-8.999999355293827,2021-05-18 00:00:00,0.85
0.00012340988365608648,8.227325577072432e-05,0.7295011147127565,0.04292132263332211,0.9941201292431311,0.10328296943198756,4,"[11.37, 13.32, 14.12, 15.02]","[10, 30, 50, 70]",1.823752786781891,-9.277531887189028,-8.999999355242625,2021-05-18 18:00:00,0.85
0.0001234098836424078,8.22732557616052e-05,0.40076166152184944,0.019424665706032736,0.9022639545076648,0.24282033037698564,4,"[13.41, 13.93, 14.99, 15.33]","[10, 30, 50, 70]",1.0019041538046236,1.9251915950728424,-8.999999355353465,2021-05-18 18:00:00,0.85
0.00012340988365916564,8.227325577277709e-05,0.25523401852881866,0.029904141937499514,0.9974110819083669,0.02393860939117035,4,"[14.66, 15.31, 15.7, 15.89]","[10, 30, 50, 70]",0.6380850463220467,7.435586452295789,-8.999999355217675,2021-05-18 18:00:00,0.85
0.00012340988364125473,8.227325576083648e-05,0.38426065774792173,0.018401508544289454,0.9409351528186223,0.17723476620639703,4,"[14.3, 14.98, 15.65, 16.25]","[10, 30, 50, 70]",0.9606516443698042,3.319448310246443,-8.999999355362808,2021-05-18 18:00:00,0.85
0.0001234098836441379,8.227325576275859e-05,0.7033582723804437,0.02435920263188496,0.956135370153808,0.2773399554646004,4,"[14.91, 16.2, 17.79, 18.25]","[10, 30, 50, 70]",1.758395680951109,-5.132785559958641,-8.999999355339446,2021-05-18 18:00:00,0.85
0.01110899071952,0.007405993813013333,0.4399532321249102,0.019353384670922538,0.9578152925407177,0.170030099216382,4,"[8.57, 10.12, 10.55, 10.62]","[10, 30, 50, 70]",1.0998830803122754,1.203589549478341,-4.500000523784827,2021-05-18 20:00:00,0.85
0.01110899071952,0.007405993813013333,0.49614836414427155,0.02395663915225204,0.9680096705665138,0.16609774261993623,4,"[7.25, 9.01, 9.33, 9.65]","[10, 30, 50, 70]",1.2403709103606788,-1.0705035290402662,-4.500000523784827,2021-05-18 20:00:00,0.85
0.01110899071952,0.007405993813013333,0.6053281038825351,0.04552820768568477,0.997687526268656,0.05366790329640815,4,"[6.55, 8.29, 8.92, 9.54]","[10, 30, 50, 70]",1.5133202597063375,-3.729753978589118,-4.500000523784827,2021-05-18 20:00:00,0.85
0.01110899071952,0.007405993813013333,0.6722724121281622,0.080333726657416,0.963217361724836,0.24192861258933118,4,"[5.76, 8.13, 8.72, 8.93]","[10, 30, 50, 70]",1.6806810303204056,-5.502910593971492,-4.500000523784827,2021-05-18 20:00:00,0.85
