height,obs_ec_correlation,obs_gfs_correlation,ec_rmse,gfs_rmse,ec_bias,gfs_bias,obs_coeff_variation,ec_coeff_variation,gfs_coeff_variation,obs_mean_daily_range,ec_mean_daily_range,gfs_mean_daily_range
10m,0.7261452633518878,0.7449976372144049,0.4018776552902764,0.3924262489636842,-0.008679789300726326,0.06496239529735304,0.4753050410617977,0.45745074193716234,0.48020880949967526,1.6575520777118191,1.2001631607110097,1.170508782077981
30m,-0.2759299955685746,-0.22115530619505203,0.7816157371187205,0.6738775999568326,0.4054000437440611,0.42505673091291274,0.41366337771302014,0.44267139278084555,0.455539186236083,1.456573394495412,1.200494490848623,0.2822003128499597
50m,-0.24935103266208958,-0.511690453207459,0.8925627712014198,0.8513494789838331,0.5007750346961869,0.5726148629803643,0.45402199082589656,0.4603899939959631,0.46908063393151544,1.5374954128440361,1.4978346692614668,0.5631474696422281
70m,-0.02739947714562185,-0.2937108342623638,0.9599074367266233,0.9928421026661876,0.6841618481692473,0.8037301930154208,0.4654504745828096,0.4777144306311378,0.4814610109541797,1.1496793038316238,1.8483084770825693,0.9245416660982411
