datetime,actual_power,predicted_power,corrected_wind,original_wind,observed_wind,error,abs_error
2022-10-05 06:15:00,3.09,25.56042716100976,4.230729747685864,3.7991068,3.69,22.47042716100976,22.47042716100976
2022-10-05 06:30:00,2.99,25.56042716100976,4.230729747685864,3.7274883,3.65,22.57042716100976,22.57042716100976
2022-10-05 06:45:00,2.84,25.56042716100976,4.230729747685864,3.6179855,3.12,22.72042716100976,22.72042716100976
2022-10-05 07:00:00,2.74,25.56042716100976,4.162894181193996,3.420244,4.07,22.82042716100976,22.82042716100976
2022-10-05 07:15:00,2.74,24.313691320807518,3.831594150331212,3.3040967,3.49,21.57369132080752,21.57369132080752
2022-10-05 07:30:00,3.78,21.625497200837575,3.77825452665585,3.3174546,3.13,17.845497200837574,17.845497200837574
2022-10-05 07:45:00,2.19,21.625497200837575,3.77825452665585,3.133978,2.6,19.435497200837574,19.435497200837574
2022-10-05 08:00:00,0.0,20.706221191353077,3.636356804364087,2.8150222,1.93,20.706221191353077,20.706221191353077
2022-10-05 08:15:00,0.0,18.582779955614537,3.7717440356507432,2.3607492,2.22,18.582779955614537,18.582779955614537
2022-10-05 08:30:00,0.0,20.706221191353077,3.5928766529599794,2.7269573,2.57,20.706221191353077,20.706221191353077
2022-10-05 08:45:00,0.0,18.582779955614537,3.7717440356507432,2.3890073,2.76,18.582779955614537,18.582779955614537
2022-10-05 09:00:00,0.0,20.706221191353077,3.5407187377337244,2.6432934,2.05,20.706221191353077,20.706221191353077
2022-10-05 09:15:00,0.0,17.978408107292413,3.5407187377337244,3.17134,2.67,17.978408107292413,17.978408107292413
2022-10-05 09:30:00,0.0,17.978408107292413,3.6170061471071864,3.558481,2.5,17.978408107292413,17.978408107292413
2022-10-05 09:45:00,0.12,17.978408107292413,3.6703457707825478,3.5682354,1.92,17.858408107292412,17.858408107292412
2022-10-05 10:00:00,2.95,17.641739431532276,3.736653710872978,3.298704,1.69,14.691739431532277,14.691739431532277
2022-10-05 10:15:00,2.95,18.61993118539694,3.6833140871976164,3.2518253,2.36,15.66993118539694,15.66993118539694
2022-10-05 10:30:00,12.97,18.61993118539694,3.7110579878600696,3.3487377,1.99,5.649931185396939,5.649931185396939
2022-10-05 10:45:00,33.01,18.61993118539694,3.688110202161969,3.306173,1.68,-14.390068814603058,14.390068814603058
