experiment,model_count,rmse,correlation,error
FeatureFusion-EC-Duo,2,33.102093601691635,0.6284828202287626,
FeatureFusion-GFS-Duo,2,33.11121028217308,0.6183528922908834,
FeatureFusion-All4,4,31.962962938388962,0.6568957811227224,
FeatureFusion-Best2,2,33.1180258625827,0.6165974364223338,
