datetime,actual_power,predicted_power,wind,wind_2,wind_3,hour,month,is_daytime,wind_lag_1h,wind_lag_24h,corrected_average_wind_speed,original_average_wind_speed,original_gfs_wind_speed_70m,original_ec_wind_speed_70m,error,abs_error
2022-07-15 00:00:00,111.2877,43.48943312073743,6.652137986850211,44.25093979609558,294.3633575714291,0,7,0,7.071407307264695,7.46223011078631,6.652137986850211,8.0809075,5.402774,10.759041,-67.79826687926257,67.79826687926257
2022-07-15 00:15:00,108.7764,42.02543234235794,6.735378945847702,45.3653295441685,305.5526854832353,0,7,0,6.652137986850211,7.090409632118851,6.735378945847702,8.65445265,6.7494383,10.559467,-66.75096765764206,66.75096765764206
2022-07-15 00:30:00,108.7764,42.02543234235794,6.81041350342856,46.38173208768207,315.8787745223557,0,7,0,6.735378945847702,7.125512746516128,6.81041350342856,8.974283,7.47618,10.472386,-66.75096765764206,66.75096765764206
2022-07-15 00:45:00,108.7764,43.093883390124546,6.748205110242995,45.53827220990967,307.301601238549,0,7,0,6.81041350342856,7.318488735353334,6.748205110242995,9.099734999999999,8.167533,10.031937,-65.68251660987545,65.68251660987545
2022-07-15 01:00:00,108.7764,43.093883390124546,6.69945784849976,44.882735463825036,300.68999436526116,1,7,0,6.748205110242995,7.328813209863852,6.69945784849976,8.762317,8.294316,9.230318,-65.68251660987545,65.68251660987545
2022-07-15 01:15:00,108.7764,41.635354481924345,6.612151016466813,43.72054106456311,289.08682004053,1,7,0,6.69945784849976,6.947142183484899,6.612151016466813,7.9227113,7.7420716,8.103351,-67.14104551807566,67.14104551807566
2022-07-15 01:30:00,108.7764,37.50280653187059,6.42377732109914,41.26491507106764,265.0766255906064,1,7,0,6.612151016466813,6.73176274001409,6.42377732109914,6.83596705,6.9264946,6.7454395,-71.2735934681294,71.2735934681294
2022-07-15 01:45:00,108.7764,35.103250862183664,6.4162870155348415,41.168739065721006,264.15044591332764,1,7,0,6.42377732109914,6.619786562784112,6.4162870155348415,6.549791,6.735047,6.364535,-73.67314913781632,73.67314913781632
2022-07-15 02:00:00,75.1319,33.36302685429752,6.236331630818444,38.89183220954664,242.5423633888793,2,7,0,6.4162870155348415,6.494840914920068,6.236331630818444,7.5007024,7.5169735,7.4844313,-41.76887314570248,41.76887314570248
2022-07-15 02:15:00,7.8428,38.297124195403576,6.834880975147534,46.71559794443371,319.2955516330512,2,7,0,6.236331630818444,6.874191427216525,6.834880975147534,8.885171,8.984245,8.786097,30.454324195403576,30.454324195403576
2022-07-15 02:30:00,3.2501,40.29208789287879,6.831875585685706,46.67452401828841,318.8745411140457,2,7,0,6.834880975147534,6.874191427216525,6.831875585685706,8.9223875,9.122112,8.722663,37.04198789287879,37.04198789287879
