datetime,power,ec_wind_speed_10m,ec_wind_speed_70m
2021-05-02 00:00:00,84.7101,7.064104,9.618738
2021-05-02 00:15:00,85.9583,7.1763535,9.990679
2021-05-02 00:30:00,86.85,6.903199,9.4539385
2021-05-02 00:45:00,87.325,6.982655,9.485528
2021-05-02 01:00:00,87.297,6.987619,9.513917
2021-05-02 01:15:00,86.7662,7.0428114,9.438052
2021-05-02 01:30:00,85.3472,7.24388,9.987333
2021-05-02 01:45:00,83.0018,7.3879814,10.509409
2021-05-02 02:00:00,79.7619,7.469169,10.857493
2021-05-02 02:15:00,75.651,7.6507497,11.336893
2021-05-02 02:30:00,70.9737,6.4059706,10.397274
2021-05-02 02:45:00,65.829,4.8774085,8.059123
2021-05-02 03:00:00,60.3069,4.101843,6.0182176
2021-05-02 03:15:00,54.5369,0.8027748,2.5189626
2021-05-02 03:30:00,49.2125,2.772145,5.2412677
2021-05-02 03:45:00,44.387,2.6740096,6.355717
2021-05-02 04:00:00,40.0369,2.5392334,5.7451944
2021-05-02 04:15:00,36.1836,2.8744364,5.3734894
2021-05-02 04:30:00,33.0267,3.0610332,5.396212
2021-05-02 04:45:00,30.4992,3.4649475,4.500082
2021-05-02 05:00:00,28.5135,4.488343,4.4085894
2021-05-02 05:15:00,27.024,4.674359,4.781728
2021-05-02 05:30:00,26.0214,4.945932,5.967097
2021-05-02 05:45:00,25.4967,5.353591,7.5204697
2021-05-02 06:00:00,25.4122,6.1714373,9.866454
2021-05-02 06:15:00,25.7883,6.620405,10.931193
2021-05-02 06:30:00,26.3434,6.261334,10.392485
2021-05-02 06:45:00,27.1006,5.553357,9.703482
2021-05-02 07:00:00,28.1013,5.1584625,9.166963
2021-05-02 07:15:00,29.3953,5.152367,8.944553
2021-05-02 07:30:00,30.5276,6.2566347,9.255678
2021-05-02 07:45:00,31.4926,6.8966527,8.086985
2021-05-02 08:00:00,32.3041,6.715591,7.679333
2021-05-02 08:15:00,32.9509,5.564867,6.211266
2021-05-02 08:30:00,33.4238,5.1849813,5.832604
2021-05-02 08:45:00,33.7474,5.7126923,6.4806414
2021-05-02 09:00:00,33.9179,5.9146776,6.744601
2021-05-02 09:15:00,33.949,6.111373,6.893428
2021-05-02 09:30:00,33.6084,6.037235,6.696377
2021-05-02 09:45:00,32.9509,5.765493,6.399755
2021-05-02 10:00:00,32.0514,5.5233254,6.1355357
2021-05-02 10:15:00,30.9565,5.7385097,6.354663
2021-05-02 10:30:00,29.9498,6.1491017,6.7841134
2021-05-02 10:45:00,29.0533,6.299016,6.941519
2021-05-02 11:00:00,28.3001,5.8781166,6.478094
2021-05-02 11:15:00,27.6815,5.3867908,5.9624867
2021-05-02 11:30:00,27.2031,5.384012,5.8366723
2021-05-02 11:45:00,26.846,5.0472198,5.3266883
2021-05-02 12:00:00,26.6062,4.713656,4.985144
2021-05-02 12:15:00,26.4432,4.504097,4.7683735
2021-05-02 12:30:00,26.1943,4.0818396,4.3119006
2021-05-02 12:45:00,25.8128,3.5769093,3.7371802
2021-05-02 13:00:00,25.304,2.8063087,2.9031734
2021-05-02 13:15:00,24.6754,2.392148,2.512727
2021-05-02 13:30:00,24.0845,2.3140402,2.4633508
2021-05-02 13:45:00,23.4846,2.3729222,2.5215228
2021-05-02 14:00:00,22.8664,2.4010105,2.5425522
2021-05-02 14:15:00,22.1897,2.3010905,2.432723
2021-05-02 14:30:00,21.4402,2.1801229,2.3000047
2021-05-02 14:45:00,20.6172,2.421088,2.5371158
2021-05-02 15:00:00,19.7029,2.8764567,2.9581459
2021-05-02 15:15:00,18.731,2.983483,3.025025
2021-05-02 15:30:00,17.7487,2.8601274,2.8527358
2021-05-02 15:45:00,16.7952,2.5688808,2.4628108
2021-05-02 16:00:00,15.8719,2.1529906,1.9494485
2021-05-02 16:15:00,14.9797,2.0897748,1.8429449
2021-05-02 16:30:00,14.2126,2.083974,1.850132
2021-05-02 16:45:00,13.5687,2.3611155,2.2032402
2021-05-02 17:00:00,13.0585,2.3061118,2.261155
2021-05-02 17:15:00,12.6809,2.372576,2.4429302
2021-05-02 17:30:00,12.4488,2.5177758,2.6728582
2021-05-02 17:45:00,12.3782,2.6766276,2.8704689
2021-05-02 18:00:00,12.4783,2.8010697,3.0176113
2021-05-02 18:15:00,12.7592,2.998009,3.2626193
2021-05-02 18:30:00,13.1827,5.9248085,6.7568893
2021-05-02 18:45:00,13.7757,7.6097193,8.916887
2021-05-02 19:00:00,14.5531,9.059232,10.596541
2021-05-02 19:15:00,15.5513,7.9637785,9.491771
2021-05-02 19:30:00,16.8192,8.145602,9.692119
2021-05-02 19:45:00,18.4034,7.13833,9.089581
2021-05-02 20:00:00,20.3725,5.566591,8.258139
2021-05-02 20:15:00,22.7793,4.304891,7.600203
2021-05-02 20:30:00,25.4846,3.9913197,6.8606505
2021-05-02 20:45:00,28.4333,4.1421247,7.3192177
2021-05-02 21:00:00,31.5656,4.678145,9.698316
2021-05-02 21:15:00,34.8448,4.9467835,9.769439
2021-05-02 21:30:00,38.1062,4.426475,9.316691
2021-05-02 21:45:00,41.2561,4.298836,8.91919
2021-05-02 22:00:00,44.1768,4.6910825,9.186062
2021-05-02 22:15:00,46.7263,5.390287,9.893024
2021-05-02 22:30:00,49.4186,5.4828076,9.866158
2021-05-02 22:45:00,52.2355,5.5678005,9.941571
2021-05-02 23:00:00,55.0225,5.585169,10.0468025
2021-05-02 23:15:00,57.6733,5.3793154,9.930312
